feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,Category
105.6577148,111.8935547,130.4370117,108.9609467,123.0182249,153.5687574,80.28815629,84.86935287,90.93528694,143.7040293,151.1482295,183.0593407,80.68127992,78.76039305,82.37540942,coast
99.45361328,122.619873,161.1206055,112.4061538,143.52,199.9763314,91.04175824,103.4871795,120.407326,110.2808303,141.0080586,195.5330891,77.10456034,93.52481733,115.5323759,coast
103.7595215,108.7138672,123.1240234,145.0821302,132.3910059,148.7706509,85.55213675,87.55750916,78.94407814,120.1992674,130.0278388,165.62442,53.3494583,72.48576468,84.85059209,coast
206.9775391,207.0588379,213.7258301,227.947929,226.6300592,239.7159763,172.4815629,173.8568987,174.9196581,230.0161172,229.0969475,241.4192918,173.627614,174.6787604,174.4328546,coast
96.39550781,169.2617188,165.5039063,62.24662722,127.7065089,143.8049704,88.97094017,157.5257631,126.7770452,108.1494505,192.9045177,216.4757021,107.9526329,176.6339128,156.0453515,coast
131.7626953,161.060791,134.1191406,119.6146746,162.8478107,168.4213018,157.9321123,190.0131868,146.9147741,59.02222222,85.64981685,72.65445665,174.5729403,189.4774502,136.627866,coast
142.8249512,157.3178711,169.6611328,185.5327811,203.6960947,228.1192899,116.8664225,134.5601954,147.8954823,126.0942613,148.6271062,169.2014652,125.6074578,125.0239355,117.5338876,coast
97.38037109,124.8039551,153.0751953,48.81420118,99.74343195,161.6728994,158.3599512,158.390232,149.246398,72.85860806,122.7438339,179.6844933,94.69286974,101.319224,101.8251449,coast
74.73388672,110.6455078,126.2565918,72.53491124,116.9912426,140.6589349,97.57264957,132.1230769,140.9074481,68.24322344,110.7399267,133.4691087,57.13177123,76.59763165,82.41975309,coast
80.20605469,104.9438477,126.8093262,101.4144379,131.7093491,168.7876923,57.38217338,83.70598291,97.92820513,87.42564103,112.9728938,142.9225885,63.81355505,77.71529352,81.79289494,coast
